game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
566084982,JP1_566084982,,Viego,白鶴仙童#MYZZ,Challenger,22,5,9,36,33,23451,16.4,2026-02-19 09:03 JST,,,
566089291,JP1_566089291,,Viego,白鶴仙童#MYZZ,Challenger,15,6,10,37,45,20827,16.4,2026-02-19 10:14 JST,,,
566138496,JP1_566138496,,Viego,白鶴仙童#MYZZ,Challenger,8,8,10,50,46,19091,16.4,2026-02-19 17:53 JST,,,
566292715,JP1_566292715,,Nidalee,Melody#I L,Challenger,8,4,8,19,36,11631,16.4,2026-02-20 13:38 JST,,,
566295400,JP1_566295400,,Viego,白鶴仙童#MYZZ,Challenger,17,8,4,20,28,15890,16.4,2026-02-20 13:58 JST,,,
566302349,JP1_566302349,,Viego,Melody#I L,Challenger,13,7,7,20,44,16176,16.4,2026-02-20 14:52 JST,,,
566307659,JP1_566307659,,Taliyah,Melody#I L,Challenger,22,3,0,81,33,20024,16.4,2026-02-20 15:47 JST,,,
566314238,JP1_566314238,,Kindred,Melody#I L,Challenger,12,5,5,48,34,15656,16.4,2026-02-20 16:26 JST,,,
566326994,JP1_566326994,,DrMundo,Dopaminw#OUI,Challenger,4,6,12,12,19,12293,16.4,2026-02-20 18:07 JST,,,
566335173,JP1_566335173,,Rengar,china đoóc#2302,Challenger,13,7,8,37,29,16516,16.4,2026-02-20 18:52 JST,,,
566408765,JP1_566408765,,Elise,Melody#I L,Challenger,11,3,9,32,43,14633,16.4,2026-02-20 23:56 JST,,,
566419774,JP1_566419774,,Taliyah,Melody#I L,Challenger,6,3,10,35,20,12268,16.4,2026-02-21 00:36 JST,,,
566430548,JP1_566430548,,Elise,Melody#I L,Challenger,13,0,4,13,21,10961,16.4,2026-02-21 01:16 JST,,,
566443466,JP1_566443466,,Zyra,Melody#I L,Challenger,7,5,9,46,45,16015,16.4,2026-02-21 02:12 JST,,,
566484593,JP1_566484593,,DrMundo,Dopaminw#OUI,Challenger,9,4,10,32,27,14385,16.4,2026-02-21 10:43 JST,,,
566530516,JP1_566530516,,Evelynn,senzawa#JP1,Challenger,9,4,5,6,23,13112,16.4,2026-02-21 16:06 JST,,,
566559205,JP1_566559205,,Kindred,Dopaminw#OUI,Challenger,9,0,5,8,16,10460,16.4,2026-02-21 18:28 JST,,,
566565161,JP1_566565161,,Jax,china đoóc#2302,Challenger,7,1,2,31,20,10274,16.4,2026-02-21 19:00 JST,,,
